year,state_abbreviation,total_unemployed,total_labor_force,unemployment_rate,state_name
2011.0,AK,28288.0,364605.0,0.07758533207169402,Alaska
2011.0,AL,210959.0,2202341.0,0.09578852684484374,Alabama
2011.0,AR,107391.0,1357823.0,0.07909057366092635,Arkansas
2011.0,AZ,288178.0,3051938.0,0.09442459184950677,Arizona
2011.0,CA,2186155.0,18406759.0,0.11876914344344923,California
2011.0,CO,236791.0,2730263.0,0.08672827489512915,Colorado
2011.0,CT,172478.0,1914443.0,0.09009304534008064,Connecticut
2011.0,DE,33742.0,443971.0,0.07600045948947116,Delaware
2011.0,FL,926236.0,9260358.0,0.10002161903459887,Florida
2011.0,GA,480453.0,4739290.0,0.10137657750422531,Georgia
2011.0,HI,45165.0,660635.0,0.06836604176284938,Hawaii
2011.0,IA,94293.0,1670062.0,0.05646077810284888,Iowa
2011.0,ID,62547.0,764208.0,0.08184551849758182,Idaho
2011.0,IL,641751.0,6567539.0,0.09771559788225087,Illinois
2011.0,IN,284619.0,3189020.0,0.08924967544888399,Indiana
2011.0,KS,95809.0,1498010.0,0.06395751697251688,Kansas
2011.0,KY,193336.0,2061506.0,0.09378386480563239,Kentucky
2011.0,LA,154486.0,2080522.0,0.07425348061688365,Louisiana
2011.0,MA,251679.0,3484135.0,0.07223571991326398,Massachusetts
2011.0,MD,226443.0,3097300.0,0.07310980531430601,Maryland
2011.0,ME,54014.0,698983.0,0.07727512686288508,Maine
2011.0,MI,467196.0,4668985.0,0.10006371834563615,Michigan
2011.0,MN,192132.0,2952538.0,0.065073506251232,Minnesota
2011.0,MO,262306.0,3032972.0,0.08648480764082227,Missouri
2011.0,MS,131359.0,1345999.0,0.09759219731961168,Mississippi
2011.0,MT,33279.0,501064.0,0.06641666533616464,Montana
2011.0,NC,477804.0,4657881.0,0.10257969235366897,North Carolina
2011.0,ND,12953.0,387392.0,0.033436415826862714,North Dakota
2011.0,NE,44309.0,1003641.0,0.04414825619917879,Nebraska
2011.0,NH,40191.0,736785.0,0.054549156131028724,New Hampshire
2011.0,NJ,427082.0,4561794.0,0.09362150066399316,New Jersey
2011.0,NM,66942.0,925108.0,0.07236128106123825,New Mexico
2011.0,NV,181137.0,1360791.0,0.13311155056140142,Nevada
2011.0,NY,796096.0,9537761.0,0.08346780759132044,New York
2011.0,OH,509754.0,5773487.0,0.08829222270700532,Ohio
2011.0,OK,98824.0,1767063.0,0.05592556688697573,Oklahoma
2011.0,OR,191675.0,1995934.0,0.0960327345493388,Oregon
2011.0,PA,495003.0,6381751.0,0.07756538918550723,Pennsylvania
2011.0,PR,194686.0,1220246.0,0.159546517669388,Unknown
2011.0,RI,61954.0,562064.0,0.11022588175012098,Rhode Island
2011.0,SC,227683.0,2185175.0,0.10419440090610592,South Carolina
2011.0,SD,20498.0,445868.0,0.045973247687656434,South Dakota
2011.0,TN,284220.0,3117500.0,0.0911692060946271,Tennessee
